Symbol,Market Cap,Sector,Industry
CGNX,4379138107,Industrials,Industrial Machinery/Components
CGO,0,Finance,Investment Managers
CGON,1355135682,,
CGTL,109331250,Technology,Retail: Computer Software & Peripheral Equipment
CGTX,20271351,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHAR,0,,
CHARR,0,,
CHCI,91722865,Finance,Real Estate
CHCO,1667471768,Finance,Major Banks
CHCT,465333260,Real Estate,Real Estate Investment Trusts
CHD,25066790573,Consumer Discretionary,Package Goods/Cosmetics
CHDN,7788740507,Consumer Discretionary,Services-Misc. Amusement & Recreation
CHE,8606962128,Health Care,Medical/Nursing Services
CHEB,0,,
CHEF,2115275308,Consumer Discretionary,Food Distributors
CHEK,3949270,Health Care,Medical Electronics
CHGG,52943472,Real Estate,Other Consumer Services
CHH,6022781458,Consumer Discretionary,Hotels/Resorts
CHI,0,Finance,Investment Managers
CHKP,23777137631,Technology,Computer Software: Prepackaged Software
CHMG,214924890,Finance,Major Banks
CHMI,85387697,Real Estate,Real Estate Investment Trusts
CHMI^A,,,
CHMI^B,,,
CHN,0,Finance,Investment Managers
CHNR,4932884,Basic Materials,Precious Metals
CHPT,273316870,Consumer Discretionary,Industrial Specialties
CHR,13100346,Technology,EDP Services
CHRD,5664211524,Energy,Oil & Gas Production
CHRO,8484300,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRS,92068457,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CHRW,10913794887,Consumer Discretionary,Oil Refining/Marketing
CHSCL,312936077,Industrials,Farming/Seeds/Milling
CHSCM,297718793,Industrials,Farming/Seeds/Milling
CHSCN,302995754,Industrials,Farming/Seeds/Milling
CHSCO,318703918,Industrials,Farming/Seeds/Milling
CHSCP,335639282,Industrials,Farming/Seeds/Milling
CHSN,8047954,Consumer Staples,Packaged Foods
CHT,30370403243,Telecommunications,Telecommunications Equipment
CHTR,49252571240,Telecommunications,Cable & Other Pay Television Services
CHW,0,Finance,Investment Managers
CHWY,13770016544,Consumer Discretionary,Catalog/Specialty Distribution
CHX,4836780000,Industrials,Industrial Machinery/Components
CHY,0,Finance,Investment Managers
CI,87574371695,Health Care,Medical Specialities
CIA,216597921,Finance,Life Insurance
CIB,4967071171,Finance,Commercial Banks
CICB,0,Finance,Finance/Investors Services
CIEN,8811610455,Utilities,Telecommunications Equipment
CIF,0,Finance,Trusts Except Educational Religious and Charitable
CIFR,889362491,Finance,Finance: Consumer Services
CIFRW,122920019,Finance,Finance: Consumer Services
CIG,4836409951,Utilities,Electric Utilities: Central
CIGI,5810229676,Finance,Real Estate
CII,2713427471,Finance,Investment Bankers/Brokers/Service
CIK,0,Finance,Finance/Investors Services
CIM,929800364,Real Estate,Real Estate Investment Trusts
CIM^A,,,
CIM^B,,,
CIM^C,,,
CIM^D,,,
CIMN,1980249815,Real Estate,Real Estate Investment Trusts
CIMO,0,Real Estate,Real Estate Investment Trusts
CINF,21072819792,Finance,Property-Casualty Insurers
CING,13867712,Health Care,Biotechnology: Pharmaceutical Preparations
CINGW,162041,Health Care,Biotechnology: Pharmaceutical Preparations
CINT,657249409,Technology,EDP Services
CIO,184033574,Real Estate,Real Estate Investment Trusts
CIO^A,,,
CION,495269322,Finance,Finance/Investors Services
CISO,6167162,Consumer Discretionary,Professional Services
CISS,3002629,Consumer Discretionary,Marine Transportation
CIVB,303862291,Finance,Major Banks
CIVI,2818422978,Energy,Oil & Gas Production
CIX,270638697,Consumer Discretionary,Industrial Machinery/Components
CJET,10017412,Consumer Discretionary,Auto Manufacturing
CJMB,17329919,Consumer Discretionary,Business Services
CKPT,334217295,Health Care,Biotechnology: Pharmaceutical Preparations
CKX,21435863,Energy,Oil & Gas Production
CL,73224932711,Consumer Discretionary,Package Goods/Cosmetics
CLAR,138487405,Consumer Discretionary,Recreational Games/Products/Toys
CLB,596105419,Energy,Oilfield Services/Equipment
CLBK,1437944671,Finance,Savings Institutions
CLBR,0,,
CLBT,4545141777,Technology,Computer Software: Prepackaged Software
CLCO,272931727,Consumer Discretionary,Marine Transportation
CLDI,12184124,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLDT,330579279,Real Estate,Real Estate Investment Trusts
CLDT^A,,,
CLDX,1089358339,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
CLEU,5554832,Real Estate,Other Consumer Services
CLF,3931126136,Basic Materials,Metal Mining
CLFD,382964653,Utilities,Telecommunications Equipment
CLGN,28636280,Health Care,Industrial Specialties
CLH,10655036434,Industrials,Environmental Services
CLIK,40826000,Consumer Discretionary,Diversified Commercial Services
CLIR,31451269,Industrials,Industrial Machinery/Components
CLLS,88675464,Health Care,Biotechnology: Pharmaceutical Preparations
CLM,0,Finance,Finance/Investors Services
CLMB,492048484,Technology,Retail: Computer Software & Peripheral Equipment
CLMT,871553963,Energy,Integrated oil Companies
CLNE,344351934,Utilities,Natural Gas Distribution
CLNN,25759380,Health Care,Biotechnology: Pharmaceutical Preparations
CLNNW,287646,Health Care,Biotechnology: Pharmaceutical Preparations
CLOV,1854591350,Health Care,Medical Specialities
CLPR,60388082,Real Estate,Real Estate Investment Trusts
CLPS,30903143,Technology,Computer Software: Prepackaged Software
CLPT,335180187,Health Care,Medical/Dental Instruments
CLRB,11321825,Health Care,Biotechnology: Pharmaceutical Preparations
CLRO,13191445,Utilities,Telecommunications Equipment
CLS,9732389362,Technology,Electrical Products
CLSD,59153921,Health Care,Biotechnology: Pharmaceutical Preparations
CLSK,2142562034,Finance,Finance: Consumer Services
CLSKW,61300300,Finance,Finance: Consumer Services
CLST,48376717,Finance,Savings Institutions
CLVT,2482981763,Technology,EDP Services
CLW,405187783,Basic Materials,Paper
CLWT,8410766,Consumer Discretionary,Professional and commerical equipment
CLX,17224407204,Consumer Discretionary,Specialty Chemicals
CLYM,81307851,Health Care,Biotechnology: Pharmaceutical Preparations
CM,53913268544,Finance,Commercial Banks
CMA,7237418446,Finance,Major Banks
CMBM,8190704,Technology,Radio And Television Broadcasting And Communications Equipment
CMBT,1839406601,Consumer Discretionary,Marine Transportation
CMC,4949425273,Industrials,Steel/Iron Ore
CMCL,228529949,Basic Materials,Precious Metals
CMCM,109074366,Technology,Computer Software: Prepackaged Software
CMCO,396569666,Industrials,Construction/Ag Equipment/Trucks
CMCSA,1.33016E+11,Telecommunications,Cable & Other Pay Television Services
CMCT,3434318,Real Estate,Real Estate Investment Trusts
CME,91577603699,Finance,Investment Bankers/Brokers/Service
CMG,69027313410,Consumer Discretionary,Restaurants
CMI,40770039184,Industrials,Industrial Machinery/Components
CMLS,5560049,Consumer Discretionary,Broadcasting
CMMB,18479479,Health Care,Biotechnology: Pharmaceutical Preparations
CMND,4295570,Health Care,Biotechnology: Pharmaceutical Preparations
CMP,411305631,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
CMPO,1075298920,Finance,Finance: Consumer Services
CMPOW,358091934,Finance,Finance: Consumer Services
CMPR,1104514164,Consumer Discretionary,Publishing
CMPS,264118426,Health Care,Biotechnology: Pharmaceutical Preparations
CMPX,241994372,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMRE,1094048780,Consumer Discretionary,Marine Transportation
CMRE^B,,,
CMRE^C,,,
CMRE^D,,,
CMRX,800146806,Health Care,Biotechnology: Pharmaceutical Preparations
CMS,21253262601,Utilities,Power Generation
CMS^B,,,
CMS^C,,,
CMSA,6421096771,Utilities,Power Generation
CMSC,6752758819,Utilities,Power Generation
CMSD,6797578015,Utilities,Power Generation
CMT,132902281,Industrials,Plastic Products
CMTG,383247307,Finance,Real Estate
CMTL,43139501,Technology,Radio And Television Broadcasting And Communications Equipment
CMU,94323296,Finance,Investment Managers
CNA,13014902715,Finance,Property-Casualty Insurers
CNC,31067235720,Health Care,Medical Specialities
CNCK,684832241,Finance,Finance: Consumer Services
CNCKW,92452353,Finance,Finance: Consumer Services
CNDT,365736112,Consumer Discretionary,Business Services
CNET,3373130,Technology,Computer Software: Programming Data Processing
CNEY,322465,Industrials,Major Chemicals
CNF,48274984,Finance,Finance: Consumer Services
CNFR,7822644,Finance,Property-Casualty Insurers
CNFRZ,244335391,Finance,Property-Casualty Insurers
CNH,14489556214,Industrials,Construction/Ag Equipment/Trucks
CNI,61892440000,Industrials,Railroads
CNK,3280192529,Consumer Discretionary,Movies/Entertainment
CNL,629245389,,
CNM,9710308711,Consumer Discretionary,Durable Goods
CNMD,1755003651,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
CNNE,1090110072,Consumer Discretionary,Restaurants
CNO,3984674562,Finance,Accident &Health Insurance
CNO^A,,,
CNOB,868025829,Finance,Major Banks
CNOBP,827732853,Finance,Major Banks
CNP,23631702387,Utilities,Electric Utilities: Central
CNQ,59387576560,Energy,Oil & Gas Production
CNR,3782791042,Energy,Coal Mining
CNS,3924671289,Finance,Investment Managers
CNSP,3327151,Health Care,Biotechnology: Pharmaceutical Preparations
CNTA,1566247944,Health Care,Biotechnology: Pharmaceutical Preparations
CNTB,36253731,Health Care,Biotechnology: Pharmaceutical Preparations
CNTM,13888384,Consumer Discretionary,Engineering & Construction
CNTX,60101810,Health Care,Biotechnology: Pharmaceutical Preparations
CNTY,46330731,Consumer Discretionary,Hotels/Resorts
CNVS,44742762,Consumer Discretionary,Consumer Electronics/Video Chains
CNX,4368524323,Energy,Oil & Gas Production
CNXC,3145622407,Technology,Computer Software: Prepackaged Software
CNXN,1605701659,Consumer Discretionary,Catalog/Specialty Distribution
COCH,27298072,Health Care,Industrial Specialties
COCO,1782528117,Consumer Staples,Beverages (Production/Distribution)
COCP,12106810,Health Care,Biotechnology: Pharmaceutical Preparations
CODA,70076748,Industrials,Industrial Machinery/Components
CODI,1306096370,Consumer Discretionary,Home Furnishings
CODI^A,,,
CODI^B,,,
CODI^C,,,
CODX,11213263,Health Care,Medical/Dental Instruments
COE,97668907,Real Estate,Other Consumer Services
COEP,31539573,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COEPW,26920,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
COF,66698027657,Finance,Major Banks
COF^I,,,
COF^J,,,
COF^K,,,
COF^L,,,
COF^N,,,
COFS,238121215,Finance,Major Banks
COGT,507771401,Health Care,Biotechnology: Pharmaceutical Preparations
COHN,14382718,Finance,Investment Bankers/Brokers/Service
COHR,9769140042,Technology,Electronic Components
COHU,710459602,Industrials,Electrical Products
COIN,44959514811,Finance,Finance: Consumer Services
COKE,11848427412,Consumer Staples,Beverages (Production/Distribution)
COLA,0,,
COLB,4656304956,Finance,Savings Institutions
COLD,5545681323,Real Estate,Real Estate Investment Trusts
COLL,830273242,Health Care,Biotechnology: Pharmaceutical Preparations
COLM,3782682225,Consumer Discretionary,Apparel
COMM,835910591,Technology,Radio And Television Broadcasting And Communications Equipment
COMP,4162077453,Technology,EDP Services
CON,2708582625,Health Care,Medical Specialities
COO,15578534156,Health Care,Ophthalmic Goods
COOK,197279717,Consumer Discretionary,Consumer Electronics/Appliances
COOP,7224984778,Finance,Finance: Consumer Services
COOT,24153066,Consumer Staples,Packaged Foods
COOTW,350684,Consumer Staples,Packaged Foods
COP,1.16436E+11,Energy,Integrated oil Companies
COR,53111949589,Health Care,Other Pharmaceuticals
CORT,7698585433,Health Care,Biotechnology: Pharmaceutical Preparations
CORZ,2208860643,Finance,Finance: Consumer Services
CORZW,942662898,Finance,Finance: Consumer Services
CORZZ,2223566773,Finance,Finance: Consumer Services
COSM,8098744,Health Care,Other Pharmaceuticals
COST,4.28239E+11,Consumer Discretionary,Department/Specialty Retail Stores
COTY,4673884008,Consumer Discretionary,Package Goods/Cosmetics
COUR,1116633227,Technology,Computer Software: Prepackaged Software
COYA,87638990,Health Care,Biotechnology: Pharmaceutical Preparations
CP,68286097379,Industrials,Railroads
CPA,3752473798,Consumer Discretionary,Air Freight/Delivery Services
CPAC,451224615,Industrials,Building Materials
CPAY,22611342716,Consumer Discretionary,Business Services
CPB,11405456375,Consumer Staples,Packaged Foods
CPBI,59389470,Finance,Savings Institutions
CPF,683405643,Finance,Major Banks
CPHC,89848134,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPHI,4563413,Health Care,Biotechnology: Pharmaceutical Preparations
CPIX,57968835,Health Care,Biotechnology: Pharmaceutical Preparations
CPK,2913481003,Utilities,Oil & Gas Production
CPNG,39431847175,Consumer Discretionary,Catalog/Specialty Distribution
CPOP,8364369,Consumer Discretionary,Services-Misc. Amusement & Recreation
CPRI,1929004246,Consumer Discretionary,Apparel
CPRT,56535759785,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CPRX,2761765155,Health Care,Biotechnology: Pharmaceutical Preparations
CPS,224551842,Consumer Discretionary,Auto Parts:O.E.M.
CPSH,21788940,Consumer Discretionary,Building Materials
CPSS,200493901,Finance,Finance: Consumer Services
CPT,11925848153,Real Estate,Real Estate Investment Trusts
CPZ,295660842,Finance,Trusts Except Educational Religious and Charitable
CQP,28936396793,Utilities,Oil/Gas Transmission
CR,8483427799,Industrials,Metal Fabrications
CRAI,1158639624,Consumer Discretionary,Other Consumer Services
CRBD,0,Finance,Life Insurance
CRBG,16046043319,Finance,Life Insurance
CRBP,69356733,Health Care,Biotechnology: Pharmaceutical Preparations
CRBU,83285621,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRC,3310682012,Energy,Oil & Gas Production
CRCT,1064846632,Technology,Industrial Machinery/Components
CRD/A,,,
CRD/B,,,
CRDF,173628407,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDL,74667131,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRDO,7347298616,Technology,Semiconductors
CREG,4580609,Consumer Discretionary,Business Services
CRESW,423412277,Finance,Real Estate
CRESY,602915229,Finance,Real Estate
CREV,4969238,Consumer Discretionary,Auto Parts:O.E.M.
CREVW,84196,Consumer Discretionary,Auto Parts:O.E.M.
CREX,16192321,Technology,EDP Services
CRF,0,Finance,Finance/Investors Services
CRGO,111094881,Consumer Discretionary,Oil Refining/Marketing
CRGOW,7436351,Consumer Discretionary,Oil Refining/Marketing
CRGX,186512090,,
CRGY,2215116995,Energy,Oil & Gas Production
CRH,60337577908,Industrials,Building Materials
CRI,1403699035,Consumer Discretionary,Apparel
CRIS,10355138,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRK,5618186593,Energy,Oil & Gas Production
CRL,7112263285,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRM,2.54828E+11,Technology,Computer Software: Prepackaged Software
CRMD,456272397,Health Care,Biotechnology: Pharmaceutical Preparations
CRML,144232350,Basic Materials,Metal Mining
CRMLW,19049556,Basic Materials,Metal Mining
CRMT,392438778,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CRNC,353367763,Technology,Computer Software: Prepackaged Software
CRNT,198999537,Technology,Radio And Television Broadcasting And Communications Equipment
CRNX,2573722561,Health Care,Biotechnology: Pharmaceutical Preparations
CRON,657522847,Health Care, Medicinal Chemicals and Botanical Products 
CROX,5582632875,Consumer Discretionary,Shoe Manufacturing
CRS,8742509934,Industrials,Steel/Iron Ore
CRSP,2992671398,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRSR,736083497,Technology,Computer peripheral equipment
CRT,62760000,Energy,Oil & Gas Production
CRTO,1705842339,Consumer Discretionary,Advertising
CRUS,4795266763,Technology,Semiconductors
CRVL,5935061987,Finance,Specialty Insurers
CRVO,76932036,Health Care,Biotechnology: Pharmaceutical Preparations
CRVS,200319240,Health Care,Biotechnology: Pharmaceutical Preparations
CRWD,93698629604,Technology,Computer Software: Prepackaged Software
CRWS,32220597,Consumer Discretionary,Textiles
CRWV,23091665005,Technology,Computer Software: Prepackaged Software
CSAI,79079668,Technology,Computer Software: Programming Data Processing
CSAN,2172903697,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CSBR,116975608,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CSCI,8803270,Health Care,Biotechnology: Pharmaceutical Preparations
CSCO,2.31258E+11,Telecommunications,Computer Communications Equipment
CSGP,32276885507,Consumer Discretionary,Business Services
CSGS,1737001218,Technology,EDP Services
CSIQ,541178501,Technology,Semiconductors
CSL,15262496611,Industrials,Specialty Chemicals
CSLR,119502974,Technology,Semiconductors
CSLRW,11433927,Technology,Semiconductors
CSPI,152257164,Technology,EDP Services
CSQ,2430980617,Finance,Finance Companies
CSR,977502153,Real Estate,Real Estate Investment Trusts
CSTE,97447432,Industrials,Building Materials
CSTL,573418732,Health Care,Medical Specialities
CSTM,1268746043,Industrials,Metal Fabrications
CSV,579821459,Consumer Discretionary,Other Consumer Services
CSWC,997979703,Consumer Discretionary,Textiles
CSWCZ,1197082709,Finance,Finance Companies
CSWI,4835373179,Industrials,Home Furnishings
CSX,54299711240,Industrials,Railroads
CTA^A,,,
CTA^B,,,
CTAS,82368502582,Consumer Discretionary,Apparel
CTBB,17,Telecommunications,Telecommunications Equipment
CTBI,870875914,Finance,Major Banks
CTDD,17,Telecommunications,Telecommunications Equipment
CTEV,318939093,Consumer Discretionary,Business Services
CTGO,125057052,Basic Materials,Precious Metals
CTHR,2554177,Consumer Discretionary,Consumer Specialties
CTKB,479084197,Industrials,Biotechnology: Laboratory Analytical Instruments
CTLP,580624871,Miscellaneous,Office Equipment/Supplies/Services
CTM,77891687,Consumer Discretionary,Professional Services
CTMX,40073974,Health Care,Biotechnology: Pharmaceutical Preparations
CTNM,119526556,Health Care,Biotechnology: Pharmaceutical Preparations
CTNT,3527055,Consumer Discretionary,Motor Vehicles
CTO,556609330,Real Estate,Real Estate Investment Trusts
CTO^A,,,
CTOR,45221118,Health Care,Biotechnology: Pharmaceutical Preparations
CTOS,846190065,Consumer Discretionary,Diversified Commercial Services
CTRA,19768598710,Energy,Oil & Gas Production
CTRE,5143812487,Real Estate,Real Estate Investment Trusts
CTRI,1570300823,Utilities,Oil & Gas Production
CTRM,20677508,Consumer Discretionary,Marine Transportation
CTRN,179513595,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CTS,1153285929,Technology,Electrical Products
CTSH,36052524815,Technology,EDP Services
CTSO,58750000,Health Care,Medical/Dental Instruments
CTVA,40146159360,Consumer Staples,Farming/Seeds/Milling
CTXR,9023105,Health Care,Biotechnology: Pharmaceutical Preparations
CUB,325945590,Industrials,Industrial Machinery/Components
CUBA,0,Finance,Investment Managers
CUBB,603730543,Finance,Major Banks
CUBE,8686794063,Real Estate,Real Estate Investment Trusts
CUBI,1488085969,Finance,Major Banks
CUBI^E,,,
CUBI^F,,,
CUBWU,0,Finance,Blank Checks
CUBWW,0,,
CUE,43267189,Health Care,Biotechnology: Pharmaceutical Preparations
CUK,23981068498,Consumer Discretionary,Marine Transportation
CULP,51492429,Consumer Discretionary,Textiles
CURB,2348778943,Finance,Real Estate
CURI,152708868,Consumer Discretionary,Movies/Entertainment
CURIW,1181333,Consumer Discretionary,Movies/Entertainment
CURR,72257982,Consumer Discretionary,Business Services
CURV,536183332,Consumer Discretionary,Clothing/Shoe/Accessory Stores
CUZ,4518449936,Real Estate,Real Estate Investment Trusts
CVAC,667486252,Health Care,Biotechnology: Pharmaceutical Preparations
CVBF,2444709727,Finance,Major Banks
CVCO,3917307531,Consumer Discretionary,Homebuilding
CVE,21943422960,Energy,Oil & Gas Production
CVEO,285497759,Consumer Discretionary,Hotels/Resorts
CVGI,34986838,Consumer Discretionary,Auto Parts:O.E.M.
CVGW,408277645,Consumer Discretionary,Specialty Foods
CVI,1767327930,Energy,Integrated oil Companies
CVKD,28195650,Health Care,Biotechnology: Pharmaceutical Preparations
CVLG,545079774,Industrials,Trucking Freight/Courier Services
CVLT,6939302418,Technology,Computer Software: Prepackaged Software
CVM,15210674,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVNA,46990390414,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CVR,10047676,Industrials,Industrial Machinery/Components
CVRX,189281953,Health Care,Medical/Dental Instruments
CVS,88482597521,Consumer Staples,Retail-Drug Stores and Proprietary Stores
CVU,45869905,Industrials,Military/Government/Technical
CVV,19819693,Technology,Industrial Machinery/Components
CVX,2.571E+11,Energy,Integrated oil Companies
CW,12148358099,Technology,Industrial Machinery/Components
CWAN,6014384164,Technology,Computer Software: Prepackaged Software
CWBC,325957682,Finance,Major Banks
CWCO,375597673,Utilities,Water Supply
CWD,12336908,Finance,Real Estate
CWEN,3309900000,Utilities,Electric Utilities: Central
CWH,1418936663,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CWK,1971056588,Finance,Real Estate
CWST,7041660912,Utilities,Environmental Services
CWT,2844142508,Utilities,Water Supply
CX,7723633838,Industrials,Building Materials
CXAI,17635070,Technology,EDP Services
CXAIW,1750831,Technology,EDP Services
CXDO,134762178,Telecommunications,Telecommunications Equipment
CXE,110970721,Finance,Investment Managers
CXH,69602272,Finance,Investment Managers
CXM,2021502434,Technology,Computer Software: Prepackaged Software
CXT,2691823236,Industrials,Metal Fabrications
CXW,2218652620,Real Estate,Real Estate Investment Trusts
CYBN,108356152,Health Care,Biotechnology: Pharmaceutical Preparations
CYBR,17319946705,Technology,Computer Software: Prepackaged Software
CYCC,47065360,Health Care,Biotechnology: Pharmaceutical Preparations
CYCCP,939233842,Health Care,Biotechnology: Pharmaceutical Preparations
CYCN,6829442,Health Care,Biotechnology: Pharmaceutical Preparations
CYCU,5820068,Technology,EDP Services
CYCUW,566566,Technology,EDP Services
CYD,572833226,Industrials,Industrial Machinery/Components
CYH,362589594,Health Care,Hospital/Nursing Management
CYN,8128844,Technology,EDP Services
CYRX,267519696,Health Care,Biotechnology: Pharmaceutical Preparations
CYTK,4419086913,Health Care,Biotechnology: Pharmaceutical Preparations
CZFS,273241230,Finance,Major Banks
CZNC,301279005,Finance,Major Banks
CZR,5845206846,Consumer Discretionary,Hotels/Resorts
CZWI,132361352,Finance,Savings Institutions
D,44519636431,Utilities,Electric Utilities: Central
DAC,1341950003,Consumer Discretionary,Marine Transportation
DADA,493825563,Technology,Computer Software: Programming Data Processing
DAIO,20420729,Industrials,Electrical Products
DAKT,623167230,Consumer Discretionary,Miscellaneous manufacturing industries
DAL,28596738006,Consumer Discretionary,Air Freight/Delivery Services
DALN,20339462,Consumer Discretionary,Newspapers/Magazines
DAN,1734647280,Consumer Discretionary,Auto Parts:O.E.M.
DAO,827093826,Real Estate,Other Consumer Services
DAR,4791610947,Consumer Staples,Packaged Foods
DARE,26108639,Health Care,Biotechnology: Pharmaceutical Preparations
DASH,79221719521,Consumer Discretionary,Business Services
DATS,11930804,Telecommunications,Telecommunications Equipment
DATSW,1090450,Telecommunications,Telecommunications Equipment
DAVA,1161738582,Technology,EDP Services
DAVE,1143116938,Finance,Finance: Consumer Services
DAVEW,2237786,Finance,Finance: Consumer Services
DAWN,736847331,Health Care,Biotechnology: Pharmaceutical Preparations
DAY,8934570272,Technology,Computer Software: Prepackaged Software
DB,42890022898,Finance,Major Banks
DBD,1556841415,Miscellaneous,Office Equipment/Supplies/Services
DBI,147763631,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DBL,0,,
DBRG,1390461208,Real Estate,Real Estate Investment Trusts
DBRG^H,,,
DBRG^I,,,
DBRG^J,,,
DBVT,136453156,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DBX,8379610135,Technology,Computer Software: Prepackaged Software
DC,264608402,Basic Materials,Metal Mining
DCBO,918415562,Technology,Computer Software: Prepackaged Software
DCGO,262095151,Health Care,Medical/Nursing Services
DCI,7650335978,Industrials,Pollution Control Equipment
DCO,856662970,Industrials,Military/Government/Technical
DCOM,1118451551,Finance,Major Banks
DCOMG,996724298,Finance,Major Banks
DCOMP,818874107,Finance,Major Banks
DCTH,381129805,Health Care,Medical/Dental Instruments
DD,29607888887,Industrials,Major Chemicals
DDD,281920018,Technology,Computer Software: Prepackaged Software
DDI,482650506,Technology,EDP Services
DDL,379764000,Consumer Discretionary,Catalog/Specialty Distribution
DDOG,33398925719,Technology,Computer Software: Prepackaged Software
DDS,5217525025,Consumer Discretionary,Department/Specialty Retail Stores
DDT,408113678,Consumer Discretionary,Department/Specialty Retail Stores
DE,1.22839E+11,Industrials,Industrial Machinery/Components
DEA,1027879722,Real Estate,Real Estate Investment Trusts
DEC,687653333,,
DECA,0,Finance,Blank Checks
DECAW,0,Finance,Blank Checks
DECK,17614848542,Consumer Discretionary,Shoe Manufacturing
DEI,2374389243,Real Estate,Real Estate Investment Trusts
DELL,58751218720,Technology,Computer Manufacturing
DENN,163090969,Consumer Discretionary,Restaurants
DEO,59843111232,Consumer Staples,Beverages (Production/Distribution)
DERM,151103018,Health Care,Biotechnology: Pharmaceutical Preparations
DESP,1376235392,Consumer Discretionary,Transportation Services
DEVS,5492886,Finance,Finance/Investors Services
DFH,2072432682,Consumer Discretionary,Homebuilding
DFIN,1207306003,Consumer Discretionary,Other Consumer Services
DFLI,5016753,Miscellaneous,Industrial Machinery/Components
DFLIW,116122,Miscellaneous,Industrial Machinery/Components
DFP,0,Finance,Investment Managers
DFS,42986565440,Finance,Finance: Consumer Services
DG,18919847650,Consumer Discretionary,Department/Specialty Retail Stores
DGICA,650408721,Finance,Property-Casualty Insurers
DGICB,605503790,Finance,Property-Casualty Insurers
DGII,976721559,Telecommunications,Computer Communications Equipment
DGLY,152115,Technology,Radio And Television Broadcasting And Communications Equipment
DGNX,2216550232,Technology,EDP Services
DGX,18207062000,Health Care,Medical Specialities
DGXX,37034027,Finance,Finance: Consumer Services
DH,281149199,Technology,Computer Software: Prepackaged Software
DHAI,7621145,Health Care,Medical/Dental Instruments
DHAIW,487564,Health Care,Medical/Dental Instruments
DHC,564575785,Real Estate,Real Estate Investment Trusts
DHCNI,3459836221,Real Estate,Real Estate Investment Trusts
DHCNL,3619075545,Real Estate,Real Estate Investment Trusts
DHF,0,Finance,Finance Companies
DHI,38180240404,Consumer Discretionary,Homebuilding
DHIL,377733041,Finance,Investment Managers
DHR,1.37146E+11,Industrials,Industrial Machinery/Components
DHT,1621635578,Consumer Discretionary,Marine Transportation
DHX,76807965,Consumer Discretionary,Business Services
DHY,0,Finance,Finance/Investors Services
DIAX,0,Finance,Finance Companies
DIBS,89568150,Consumer Discretionary,Catalog/Specialty Distribution
DIN,321092216,Consumer Discretionary,Restaurants
DINO,5390334083,Energy,Natural Gas Distribution
DIOD,1831580253,Technology,Semiconductors
DIS,1.65304E+11,Consumer Discretionary,Services-Misc. Amusement & Recreation
DIST,0,Finance,Blank Checks
DISTR,0,Finance,Blank Checks
DISTW,0,Finance,Blank Checks
DIT,78100902,Consumer Discretionary,Food Distributors
DJCO,553119185,Consumer Discretionary,Newspapers/Magazines
DJT,4460724949,Technology,Computer Software: Programming Data Processing
DJTWW,2744215102,Technology,Computer Software: Programming Data Processing
DK,819548472,Energy,Integrated oil Companies
DKL,2039365874,Energy,Natural Gas Distribution
DKNG,17560030961,Consumer Discretionary,Services-Misc. Amusement & Recreation
DKS,15806634487,Consumer Discretionary,Other Specialty Stores
DLB,7166599446,Miscellaneous,Multi-Sector Companies
DLHC,48338532,Consumer Discretionary,Professional Services
DLNG,131142472,Consumer Discretionary,Marine Transportation
DLNG^A,,,
DLNG^B,,,
DLO,2586967152,Consumer Discretionary,Business Services
DLPN,11168199,Consumer Discretionary,Other Consumer Services
DLR,49072631594,Real Estate,Real Estate Investment Trusts
DLR^J,,,
DLR^K,,,
DLR^L,,,
DLTH,73088180,Consumer Discretionary,Clothing/Shoe/Accessory Stores
DLTR,15608574326,Consumer Discretionary,Department/Specialty Retail Stores
DLX,675348206,Consumer Discretionary,Publishing
DLY,724460721,Finance,Investment Managers
DMA,0,Finance,Trusts Except Educational Religious and Charitable
DMAA,0,,
DMAAR,0,Finance,Blank Checks
